Variable,Coefficient,Std_Error,z_value,P_value,Odds_Ratio,Significance,Abs_Coef
const,-5.93878976152135,0.06423082760580466,-92.4601158491791,0.0,0.002635216962888509,***,5.93878976152135
Stroke,1.1452206307077084,0.025158717079545583,45.51983422234157,0.0,3.143134752389021,***,1.1452206307077084
Sex,0.7322101573258175,0.01609568275762815,45.491090272564215,0.0,2.0796719341888275,***,0.7322101573258175
KidneyDisease,0.7121211164462645,0.026968876106570498,26.40529451921686,1.191180570502966e-153,2.0383101697944768,***,0.7121211164462645
Diabetic,0.6158196380309318,0.01817885510260861,33.87560077656175,1.5240000066221539e-251,1.8511732699269372,***,0.6158196380309318
Smoking,0.4337457390211145,0.015777183115098747,27.491963290076814,2.190432155792926e-166,1.5430264868099908,***,0.4337457390211145
DiffWalking,0.4101243080531219,0.019937703379554063,20.570288375024212,5.06638857414193e-94,1.5070051063406578,***,0.4101243080531219
Asthma,0.34853934132968595,0.021395394813294395,16.290390729930117,1.1548902161735845e-59,1.4169962883450202,***,0.34853934132968595
AgeCategory,0.2839259421564059,0.0033344063006466103,85.15037357665344,0.0,1.3283345535174316,***,0.2839259421564059
AlcoholDrinking,-0.23049320490716754,0.03700177691416387,-6.229246920813074,4.686826023295298e-10,0.7941418312513634,***,0.23049320490716754
SkinCancer,0.11199580233800595,0.021424110990990754,5.227558911784126,1.7176267861961728e-07,1.1185081655159745,***,0.11199580233800595
PhysicalActivity,-0.07909694581500161,0.017752891902322515,-4.455440062959759,8.372128421695486e-06,0.9239503469836676,***,0.07909694581500161
SleepTime,-0.03310088926686466,0.004852688909496276,-6.821143882124649,9.031842451369703e-12,0.9674409502570416,***,0.03310088926686466
PhysicalHealth,0.021151975273982677,0.0008401170316024949,25.177415143740152,7.081503766025508e-140,1.0213772639325402,***,0.021151975273982677
BMI,0.015447552881791553,0.0012553670722811293,12.3052079530187,8.49174361433189e-35,1.015567483073692,***,0.015447552881791553
MentalHealth,0.010352258303825152,0.0009757845514570917,10.609163967974926,2.701554818745022e-26,1.0104060283166607,***,0.010352258303825152
